Raum;RaumhoeheMeter;Moebliert;Wandfarbe;Raumart;Bemerkung
Raum01;2,54;ja;weiss;Bueroraum/Musikzimmer;Kinderbilder + Gitarren an den Waenden
Raum02;2,52;ja;weiss;Flur/Diele EG;Treppe, Schieferboden
Raum03;2,51;ja;weiss-grau, teils gespachtelt;Wohnzimmer;IN RENOVIERUNG - Spachtelstellen, Farbmuster gruen, ideales Maler-Szenario
Raum04;2,55;ja;beige;Schlafzimmer;
Raum05;2,55;ja;dunkelblau + weisse Lambris;Kinderzimmer;
Raum06;2,55;ja;grau + weisse Lambris;Kinderzimmer;
Raum07;2,55;ja;weiss + Fliesen (halbhoch);Bad;Fliesenspiegel halbhoch, Musterwand grau
Raum08;2,55;ja;weiss;Flur/Galerie OG;offene Galerie mit Treppe
Raum09;2,64;ja;anthrazit + Backstein-Tapete;Fitnessraum Keller;rote/gelbe Rohre sichtbar
Raum10;2,42;ja;hell/creme;Esszimmer;grosse Fensterfront
Raum11;2,49;ja;hell/creme;Wohnzimmer/Kueche;offener Bereich
