Raum;WandNr;LaengeMeter;Bemerkung
Raum01;1;3,50;Foto 20260904_174526
Raum01;2;3,98;Foto 20260904_174544
Raum01;3;3,50;Foto 20260904_174947
Raum01;4;3,98;Foto 20260904_174958
Raum02;1;4,49;Foto 20260904_175041
Raum02;2;4,36;Foto 20260904_175116
Raum02;3;4,49;Foto 20260904_175122
Raum02;4;1,97;Foto 20260904_175138
Raum02;5;2,51;Foto 20260904_175212
Raum03;1;3,24;Foto 20260904_175229
Raum03;2;4,67;Foto 20260904_175308
Raum03;3;10,49;Foto 20260904_175359
Raum03;4;4,49;Foto 20260904_175411
Raum03;5;1,86;Foto 20260904_175445
Raum03;6;5,43;Foto 20260904_175659
Raum04;1;3,84;Foto 20260904_175757
Raum04;2;3,99;Foto 20260904_175804
Raum04;3;3,84;Foto 20260904_175831
Raum05;1;4,32;Foto 20260904_175941
Raum05;2;3,98;Foto 20260904_180025
Raum05;3;3,98;Foto 20260904_180042
Raum05;4;4,32;Foto 20260904_180052
Raum06;1;3,50;Foto 20260904_180200
Raum06;2;3,98;Foto 20260904_180205
Raum06;3;3,50;Foto 20260904_180235
Raum06;4;3,98;Foto 20260904_180239
Raum07;1;3,57;Foto 20260904_180326
Raum07;2;3,98;Foto 20260904_180355
Raum07;3;3,97;Foto 20260904_180402
Raum07;4;2,19;Foto 20260904_180428
Raum07;5;1,64;Foto 20260904_180452
Raum07;6;1,01;Foto 20260904_180510
Raum08;1;2,24;Foto 20260904_180942
Raum08;2;5,49;Foto 20260904_180951
Raum08;3;5,49;Foto 20260904_181032
Raum09;1;3,76;Foto 20260904_181300
Raum09;2;3,87;Foto 20260904_181425
Raum09;3;3,76;Foto 20260904_181435
Raum09;4;3,87;Foto 20260904_181440
Raum10;1;6,14;Foto 20260904_181636
Raum10;2;3,11;Foto 20260904_181708
Raum11;1;10,38;Foto 20260904_181717
